top_left_wall,top_wall,top_wall,top_wall,top_wall,top_wall,top_wall,top_wall,top_wall,top_wall,top_wall,top_wall,top_wall,top_wall
left_wall,chip,floor,player,floor,floor,floor,floor,floor,floor,floor,floor,floor,top_right_wall
left_wall,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,right_wall
left_wall,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,floor,right_wall
left_wall,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,chip,right_wall
left_wall,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,floor,right_wall
left_wall,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,bottom_wall,bottom_right_wall
left_wall,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,right_wall,
left_wall,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,right_wall,
left_wall,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,right_wall,
left_wall,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,right_wall,
left_wall,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,ice_floor,right_wall,
left_wall,conveyor_up,floor,conveyor_up,conveyor_up,conveyor_up,conveyor_up,conveyor_up,conveyor_up,floor,conveyor_up,conveyor_up,right_wall,
left_wall,,floor,,,,,,,floor,,,right_wall,
left_wall,,chip,,,,,,,chip,,,right_wall,
left_wall,,floor,,,,,,,floor,,,right_wall,
left_wall,,floor,,,,,,,floor,,,right_wall,
bottom_left_wall,bottom_wall,door,bottom_wall,bottom_wall,bottom_wall,bottom_wall,bottom_wall,bottom_wall,robot,bottom_wall,bottom_wall,bottom_right_wall,
,floor,floor,floor,,,,,floor,floor,floor,,,
,floor,floor,floor,,,,,floor,floor,floor,,,
,floor,heart,floor,,,,,floor,key,floor,,,
,floor,floor,floor,,,,,floor,floor,floor,,,
